"Job","Host Name","Partition","QOS","Submit","Start","End","Elapsed Secs","Nodes Allocated","Raw Hours"
"60264834","cori haswell","regular_hsw","regular_1","2022-06-16 11:40:18","2022-11-10 20:06:00","2022-11-10 20:06:26","26","16","0.11555555555555555"
"60264835","cori haswell","regular_hsw","regular_1","2022-06-16 11:40:18","2022-11-10 20:06:00","2022-11-10 20:06:21","21","16","0.09333333333333334"
"61692083","cori haswell","regular_hsw","regular_1","2022-08-04 14:03:22","2022-11-09 22:19:14","2022-11-09 23:26:03","4009","1","1.113611111111111"
"61692085","cori haswell","regular_hsw","regular_1","2022-08-04 14:03:26","2022-11-09 23:20:25","2022-11-09 23:59:59","2374","1","0.6594444444444445"
"61692085","cori haswell","regular_hsw","regular_1","2022-08-04 14:03:26","2022-11-10 00:00:00","2022-11-10 02:41:14","9674","1","2.687222222222222"
"61692089","cori haswell","regular_hsw","regular_1","2022-08-04 14:03:32","2022-11-10 01:47:34","2022-11-10 07:47:54","21620","1","6.0055555555555555"
"61692090","cori haswell","regular_hsw","regular_1","2022-08-04 14:03:35","2022-11-10 04:10:39","2022-11-10 04:46:13","2134","1","0.5927777777777777"
"61692091","cori haswell","regular_hsw","regular_1","2022-08-04 14:03:40","2022-11-10 04:48:41","2022-11-10 05:35:42","2821","1","0.7836111111111111"
"61692093","cori haswell","regular_hsw","regular_1","2022-08-04 14:03:45","2022-11-10 05:57:03","2022-11-10 06:12:18","915","1","0.25416666666666665"
"61692095","cori haswell","regular_hsw","regular_1","2022-08-04 14:03:47","2022-11-10 06:14:15","2022-11-10 06:53:27","2352","1","0.6533333333333333"
"61692096","cori haswell","regular_hsw","regular_1","2022-08-04 14:03:50","2022-11-10 06:57:58","2022-11-10 07:51:21","3203","1","0.8897222222222222"
"61692098","cori haswell","regular_hsw","regular_1","2022-08-04 14:03:53","2022-11-10 07:06:27","2022-11-10 09:09:06","7359","1","2.0441666666666665"
