"Job","Host Name","Partition","QOS","Submit","Start","End","Elapsed Secs","Nodes Allocated","Raw Hours"
"64237699","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:12:08","2022-11-11 00:00:00","2022-11-11 09:21:45","33705","1","0.58515625"
"64237700","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:12:09","2022-11-10 22:12:17","2022-11-10 23:59:59","6462","1","0.1121875"
"64237700","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:12:09","2022-11-11 00:00:00","2022-11-11 10:12:32","36752","1","0.6380555555555556"
"64237701","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:12:20","2022-11-10 22:12:20","2022-11-10 22:33:11","1251","64","22.24"
"64237704","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:12:25","2022-11-10 22:13:18","2022-11-10 22:13:29","11","1","0.00009548611111111112"
"64237705","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:12:25","2022-11-10 22:13:18","2022-11-10 22:18:16","298","1","0.0025868055555555557"
"64237714","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:13:04","2022-11-10 22:13:04","2022-11-10 22:43:22","1818","16","8.08"
"64237717","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:13:31","2022-11-10 22:14:22","2022-11-10 23:59:59","6337","1","0.11001736111111111"
"64237717","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:13:31","2022-11-11 00:00:00","2022-11-11 01:40:48","6048","1","0.105"
"64237718","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:13:34","2022-11-10 22:14:22","2022-11-10 22:14:31","9","1","0.00015625"
"64237746","cori haswell","genepool","jgi_special_gtrqc","2022-11-10 22:15:07","2022-11-10 22:15:24","2022-11-10 23:12:31","3427","1","0.9519444444444445"
"64237749","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:16:03","2022-11-10 22:16:24","2022-11-10 23:59:59","6215","1","0.10789930555555556"
"64237749","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:16:03","2022-11-11 00:00:00","2022-11-11 09:25:07","33907","1","0.5886631944444445"
"64237750","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:16:03","2022-11-10 22:16:24","2022-11-10 23:59:59","6215","1","0.10789930555555556"
"64237750","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:16:03","2022-11-11 00:00:00","2022-11-11 09:28:54","34134","1","0.5926041666666667"
