"Job","Host Name","Partition","QOS","Submit","Start","End","Elapsed Secs","Nodes Allocated","Raw Hours"
"64133699","cori haswell","shared","shared","2022-11-07 10:01:52","2022-11-07 10:22:54","2022-11-07 10:23:47","53","1","0.0004600694444444444"
"64133700","cori haswell","shared","shared","2022-11-07 10:01:55","2022-11-07 10:22:54","2022-11-07 10:23:03","9","1","0.000078125"
"64133701","cori haswell","interactive","interactive","2022-11-07 10:01:58","2022-11-07 10:01:58","2022-11-07 12:03:24","7286","1","2.023888888888889"
"64133702","cori haswell","shared","shared","2022-11-07 10:01:58","2022-11-07 10:27:56","2022-11-07 10:28:06","10","1","0.00008680555555555556"
"64133703","cori haswell","shared","shared","2022-11-07 10:02:01","2022-11-07 10:27:56","2022-11-07 10:28:06","10","1","0.00008680555555555556"
"64133704","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:02:01","2022-11-07 10:18:31","2022-11-07 10:48:46","1815","36","18.15"
"64133705","cori haswell","shared","shared","2022-11-07 10:02:01","2022-11-07 11:08:17","2022-11-07 11:08:28","11","1","0.00009548611111111112"
"64133706","cori haswell","shared","shared","2022-11-07 10:02:03","2022-11-07 11:08:17","2022-11-07 11:09:17","60","1","0.0005208333333333333"
"64133707","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:02:03","2022-11-07 10:18:54","2022-11-07 10:36:11","1037","16","4.608888888888889"
"64133708","cori haswell","shared","shared","2022-11-07 10:02:04","2022-11-07 11:12:43","2022-11-07 11:13:28","45","1","0.000390625"
"64133709","cori haswell","genepool","jgi_special_fungalp","2022-11-07 10:02:06","2022-11-07 10:02:43","2022-11-07 10:03:11","28","1","0.0077777777777777776"
"64133710","cori haswell","shared","shared","2022-11-07 10:02:06","2022-11-07 11:17:27","2022-11-07 11:18:09","42","1","0.00036458333333333335"
"64133711","cori haswell","shared","shared","2022-11-07 10:02:08","2022-11-07 11:17:27","2022-11-07 11:18:57","90","1","0.00078125"
"64133712","cori haswell","shared","shared","2022-11-07 10:02:08","2022-11-07 11:22:27","2022-11-07 11:23:15","48","1","0.0004166666666666667"
"64133713","cori haswell","shared","shared","2022-11-07 10:02:08","2022-11-07 11:22:27","2022-11-07 11:22:44","17","1","0.00014756944444444445"
"64133714","cori haswell","shared","shared","2022-11-07 10:02:11","2022-11-07 11:27:31","2022-11-07 11:28:18","47","1","0.00040798611111111114"
"64133715","cori haswell","shared","shared","2022-11-07 10:02:11","2022-11-07 11:27:32","2022-11-07 11:28:18","46","1","0.0003993055555555556"
"64133716","cori haswell","genepool_shared","genepool_shared","2022-11-07 10:02:13","2022-11-07 10:02:43","2022-11-07 10:03:00","17","1","0.0005902777777777778"
"64133717","cori haswell","shared","shared","2022-11-07 10:02:13","2022-11-07 11:28:41","2022-11-07 11:29:11","30","1","0.00026041666666666666"
"64133718","cori haswell","shared","shared","2022-11-07 10:02:14","2022-11-07 11:28:41","2022-11-07 11:28:59","18","1","0.00015625"
"64133719","cori haswell","shared","shared","2022-11-07 10:02:16","2022-11-07 11:28:41","2022-11-07 11:29:54","73","1","0.0006336805555555555"
"64133720","cori haswell","shared","shared","2022-11-07 10:02:19","2022-11-07 11:28:41","2022-11-07 11:29:44","63","1","0.000546875"
"64133721","cori haswell","genepool_shared","genepool_shared","2022-11-07 10:02:19","2022-11-07 10:02:43","2022-11-07 16:01:11","21508","1","0.37340277777777775"
"64133722","cori haswell","shared","shared","2022-11-07 10:02:19","2022-11-07 11:28:41","2022-11-07 11:29:14","33","1","0.00028645833333333333"
"64133723","cori haswell","shared","shared","2022-11-07 10:02:21","2022-11-07 11:37:41","2022-11-07 11:37:52","11","1","0.00009548611111111112"
"64133724","cori haswell","genepool_shared","genepool_shared","2022-11-07 10:02:21","2022-11-07 10:02:44","2022-11-07 10:02:55","11","1","0.00038194444444444446"
"64133725","cori haswell","shared","shared","2022-11-07 10:02:21","2022-11-07 11:37:41","2022-11-07 11:38:06","25","1","0.00021701388888888888"
"64133726","cori haswell","shared","shared","2022-11-07 10:02:23","2022-11-07 11:38:20","2022-11-07 11:38:44","24","1","0.00020833333333333335"
"64133727","cori haswell","shared","shared","2022-11-07 10:02:24","2022-11-07 11:38:20","2022-11-07 11:39:07","47","1","0.00040798611111111114"
"64133728","cori haswell","shared","shared","2022-11-07 10:02:24","2022-11-07 11:42:44","2022-11-07 11:43:13","29","1","0.0002517361111111111"
"64133729","cori haswell","shared","shared","2022-11-07 10:02:26","2022-11-07 11:42:44","2022-11-07 11:43:11","27","1","0.000234375"
"64133730","cori haswell","shared","shared","2022-11-07 10:02:26","2022-11-07 11:44:14","2022-11-07 11:44:52","38","1","0.0003298611111111111"
"64133731","cori haswell","shared","shared","2022-11-07 10:02:28","2022-11-07 11:44:14","2022-11-07 11:44:28","14","1","0.00012152777777777777"
"64133732","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:02:36","2022-11-07 10:59:44","2022-11-07 11:30:02","1818","32","16.16"
"64133736","cori haswell","genepool_shared","genepool_shared","2022-11-07 10:02:52","2022-11-07 10:03:42","2022-11-07 10:03:59","17","1","0.0005902777777777778"
"64133739","cori haswell","shared","shared","2022-11-07 10:03:48","2022-11-07 11:37:41","2022-11-07 11:38:30","49","1","0.0004253472222222222"
"64133740","cori haswell","genepool","jgi_special_fungalp","2022-11-07 10:04:09","2022-11-07 10:04:43","2022-11-07 10:04:52","9","1","0.0025"
"64133752","cori haswell","interactive","interactive","2022-11-07 10:05:02","2022-11-07 10:05:02","2022-11-07 10:05:35","33","32","0.29333333333333333"
"64133757","cori haswell","genepool_shared","jgi_special_gtsdm","2022-11-07 10:05:33","2022-11-07 10:05:45","2022-11-07 10:06:29","44","1","0.00038194444444444446"
"64133758","cori haswell","interactive","interactive","2022-11-07 10:05:47","2022-11-07 10:05:47","2022-11-07 13:13:10","11243","8","24.984444444444446"
"64133759","cori haswell","shared","shared","2022-11-07 10:05:57","2022-11-07 11:37:41","2022-11-07 11:38:26","45","1","0.000390625"
"64133774","cori haswell","shared","shared","2022-11-07 10:06:19","2022-11-07 11:42:44","2022-11-07 11:43:28","44","1","0.00038194444444444446"
"64133776","cori haswell","realtime","realtime_m2218","2022-11-07 10:06:32","2022-11-07 10:06:34","2022-11-07 10:18:01","687","1","0.19083333333333333"
"64133777","cori haswell","shared","shared","2022-11-07 10:06:39","2022-11-07 11:42:44","2022-11-07 11:43:23","39","1","0.0003385416666666667"
"64133781","cori haswell","shared","shared","2022-11-07 10:06:59","2022-11-07 11:47:45","2022-11-07 11:48:23","38","1","0.0003298611111111111"
"64133782","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:07:02","2022-11-07 10:20:13","2022-11-07 10:48:20","1687","23","10.778055555555556"
"64133783","cori haswell","genepool_shared","genepool_shared","2022-11-07 10:07:02","2022-11-07 10:07:48","2022-11-07 10:22:31","883","1","0.030659722222222224"
"64133785","cori haswell","realtime","realtime_m2218","2022-11-07 10:07:04","2022-11-07 10:07:07","2022-11-07 10:21:37","870","1","0.24166666666666667"
"64133791","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:07:19","2022-11-07 10:23:28","2022-11-07 10:52:34","1746","23","11.155"
"64133792","cori haswell","shared","shared","2022-11-07 10:07:20","2022-11-07 11:47:45","2022-11-07 11:48:23","38","1","0.0003298611111111111"
"64133797","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:07:35","2022-11-07 10:48:28","2022-11-07 11:16:20","1672","23","10.682222222222222"
"64133798","cori haswell","realtime","realtime_m2218","2022-11-07 10:07:35","2022-11-07 10:07:38","2022-11-07 10:20:18","760","1","0.2111111111111111"
"64133799","cori haswell","interactive","interactive","2022-11-07 10:07:40","2022-11-07 10:07:40","2022-11-07 13:31:58","12258","32","108.96"
"64133821","cori haswell","realtime","realtime_m2218","2022-11-07 10:08:05","2022-11-07 10:08:06","2022-11-07 10:17:58","592","1","0.16444444444444445"
"64133822","cori haswell","debug_hsw","debug_hsw","2022-11-07 10:08:08","2022-11-07 10:52:41","2022-11-07 11:22:41","1800","23","11.5"
